id	htid	person_id	author1_normalized	author1	author2	author3	author4	title	imprint	date	place	isbn	oclc	lccn
7146	mdp.39015054268217	713	Dybek, Stuart	Dybek, Stuart 1942-	null	null	null	Brass knuckles / Stuart Dybek.	University of Pittsburgh Press, c1979.	1979	pau	['082295307X (pbk.),0822933993']	['4805046']	['79004700']
7147	mdp.39015001145294	87	Levine, Philip	Levine, Philip 1928-	null	null	null	7 years from somewhere : poems / by Philip Levine.	Atheneum, 1980,c1979.	1980	nyu	[]	['6675583']	[]
7148	mdp.39015004721901	5	Bly, Robert	Bly, Robert.	null	null	null	Talking all morning / Robert Bly.	University of Michigan Press, c1980.	1980	miu	['0472157604 (pbk.) :']	['6016539']	['80010789']
7149	mdp.39015066055958	86	Irving, John	Irving, John 1942-	null	null	null	3 by Irving / John Irving.	Random House, c1980.	1980	nyu	['0394509838 :']	['5777349']	['79005536']
7150	mdp.39015002705260	3674	Schwartz, Lynne Sharon	Schwartz, Lynne Sharon.	null	null	null	Rough strife / Lynne Sharon Schwartz.	Harper & Row, c1980.	1980	nyu	['0060140240 :']	['6014896']	['79002740']
7151	mdp.39015005515724	491	Valgardson, W. D.	Valgardson, W. D.	null	null	null	God is not a fish inspector / W. D. Valgardson.	Oberon Press, c1975.	1975	onc	['0887501494 (pbk.),0887501486.']	['1857930']	['74031955']
7152	mdp.39015002756594	3622	Santos, Bienvenido N.	Santos, Bienvenido N.	null	null	null	Brother, my brother : a collection of stories / By Bienvenido N. Santos ; with an introduction by Leonard Casper.	Benipayo Publishers, 1960.	1960	ph	[]	['2049875']	['60040646']
7153	uc1.32106005007080	969	Smiley, Jane	Smiley, Jane.	null	null	null	Barn blind : a novel / by Jane Smiley.	Harper & Row, c1980.	1980	nyu	['006014016X :']	['5830054']	['79003417']
7154	mdp.39015005430775	4365	Warren, Robert Penn	Warren, Robert Penn 1905-1989	null	null	null	Brother to dragons : a tale in verse and voices / Robert Penn Warren.	Random House, c1979.	1979	nyu	[]	['4775101']	['79010782']
7155	mdp.39015019055824	4345	Will, Frederic	Will, Frederic.	null	null	null	Our thousand year old bodies : selected poems, 1956-1976 / by Frederic Will.	University of Massachusetts Press, 1980.	1980	mau	['0870232843 (pbk.),0870232835']	['5196963']	['79009383']
7156	uc1.b3499561	1025	Miller, Jane	Miller, Jane 1932-	null	null	null	Women writing about men / Jane Miller.	Pantheon Books, c1986.	1986	nyu	['039474425X (pbk.) :']	['12811120']	['85025907']
7157	uc1.$b404151	162	Costello, Mark	Costello, Mark 1936-	null	null	null	The Murphy stories.	University of Illinois Press [1973]	1973	ilu	['0252003039 0252003098 (pbk.)']	['589171']	['72086409']
