htid	title_id	title	author	year	first_week	debut_rank	best_rank
mdp.39015029710681	6227	THE SECRET HISTORY	Donna Tartt	1992	1992-09-20	10	3
mdp.39076002830110	6227	THE SECRET HISTORY	Donna Tartt	1992	1992-09-20	10	3
uc1.b3462574	6232	THE SECRET OF SANTA VITTORIA	Robert Crichton	1966	1966-09-18	15	1
mdp.39015025948053	6233	THE SECRET OF THE KINGDOM	Mika Waltari	1961	1961-03-12	16	15
mdp.39015059771173	6237	THE SECRET ROAD	Bruce Lancaster	1952	1952-08-03	13	13
mdp.39015070698702	6238	THE SECRET SERVANT	Daniel Silva	2007	2007-08-12	1	2
uiuo.ark+=13960=t33209h0p	6246	THE SEMI-ATTACHED COUPLE	Emily Eden	1947	1947-08-17	4	9
uiuo.ark+=13960=t5m90kk6d	6246	THE SEMI-ATTACHED COUPLE	Emily Eden	1947	1947-08-17	4	9
uc1.b4103971	6246	THE SEMI-ATTACHED COUPLE	Emily Eden	1947	1947-08-17	4	9
uc1.b3578502	6246	THE SEMI-ATTACHED COUPLE	Emily Eden	1947	1947-08-17	4	9
mdp.39015002220567	6246	THE SEMI-ATTACHED COUPLE	Emily Eden	1947	1947-08-17	4	9
uc1.b4410013	6247	THE SENATOR	Drew Pearson	1968	1968-09-15	1	4
mdp.39015073894134	6248	THE SENATOR'S WIFE	Sue Miller	2008	2008-01-27	13	10
mdp.39015073894134	6249	THE SENATOR’S WIFE	Sue Miller	2008	2008-02-03	11	7
mdp.39015008957774	6254	THE SERGEANT	Dennis Murphy	1958	1958-04-06	14	6
uc1.$b104425	6254	THE SERGEANT	Dennis Murphy	1958	1958-04-06	14	6
uc1.b4451946	6254	THE SERGEANT	Dennis Murphy	1958	1958-04-06	14	6
mdp.39015033255236	6255	THE SERPENT AND THE STAFF	Frank Yerby	1958	1958-10-26	14	13
mdp.39015016435615	6258	THE SERPENT-WREATHED STAFF	Alice Tisdale Hobart	1951	1951-12-23	15	14
uc1.b3688432	6258	THE SERPENT-WREATHED STAFF	Alice Tisdale Hobart	1951	1951-12-23	15	14
uc1.$b103005	6258	THE SERPENT-WREATHED STAFF	Alice Tisdale Hobart	1951	1951-12-23	15	14
