htid	title_id	title	author	year	first_week	debut_rank	best_rank
pst.000033362915	4	"""L"" IS FOR LAWLESS"	Sue Grafton	1995	1995-09-17	10	1
mdp.39015053378256	7	"""P"" IS FOR PERIL"	Sue Grafton	2001	2001-06-24	14	1
mdp.39015040572409	13	10 LB. PENALTY	Dick Francis	1997	1997-10-12	4	5
uc1.b4421473	24	19 PURCHASE STREET	Gerald A. Browne	1982	1982-09-05	1	10
mdp.39015060875179	41	72 HOUR HOLD	Bebe Moore Campbell	2005	2005-07-17	15	11
uc1.b4975998	48	A BED BY THE WINDOW	M. Scott Peck	1990	1990-09-16	10	13
mdp.39015008165196	49	A BEGGAR IN JERUSALEM	Elie Wiesel	1970	1970-03-22	5	8
pst.000025930993	49	A BEGGAR IN JERUSALEM	Elie Wiesel	1970	1970-03-22	5	8
mdp.39015025036917	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
mdp.39015049779740	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
pst.000030860100	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
mdp.39015012833763	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
mdp.39076006266766	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
uc1.32106013836868	54	A BOOK OF COMMON PRAYER	Joan Didion	1977	1977-04-24	1	8
mdp.39015003930461	55	A BREATH OF AIR	Rumer Godden	1951	1951-02-25	12	11
uc1.$b102642	55	A BREATH OF AIR	Rumer Godden	1951	1951-02-25	12	11
mdp.39015062594760	56	A BREATH OF SNOW AND ASHES	Diana Gabaldon	2005	2005-10-16	2	1
uc1.$b101955	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.39015000618572	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.39015000618663	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.49015001344689	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
inu.39000003569436	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
pst.000029884575	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.39015003930867	59	A CANDLE FOR ST. JUDE	Rumer Godden	1948	1948-08-29	6	12
mdp.39015012321967	59	A CANDLE FOR ST. JUDE	Rumer Godden	1948	1948-08-29	6	12
mdp.39015054129278	60	A CARESS OF TWILIGHT	Laurell K. Hamilton	2002	2002-04-14	6	10
mdp.39015002388232	61	A CASE OF NEED	Michael Crichton writing as Jeffery Hudson	1993	1993-08-01	15	10
uc1.32106010338751	62	A CATSKILL EAGLE	Robert B. Parker	1985	1985-06-16	9	6
mdp.39015005780161	65	A CERTAIN SMILE	Francoise Sagan	1956	1956-08-19	14	2
mdp.39015003978536	65	A CERTAIN SMILE	Francoise Sagan	1956	1956-08-19	14	2
mdp.39015010915471	68	A CHARMED LIFE	Mary McCarthy	1955	1955-11-27	16	9
mdp.39015001506412	68	A CHARMED LIFE	Mary McCarthy	1955	1955-11-27	16	9
pst.000032420562	68	A CHARMED LIFE	Mary McCarthy	1955	1955-11-27	16	9
mdp.39015046463629	70	A CLASH OF KINGS	George R. R. Martin	1999	1999-02-21	6	13
mdp.39015056807590	71	A COLD HEART	Jonathan Kellerman	2003	2003-05-18	12	6
mdp.39015050487860	73	A COMMON LIFE	Jan Karon	2001	2001-04-29	11	1
mdp.39015009017743	75	A COVENANT WITH DEATH	Stephen Becker	1965	1965-02-07	13	6
mdp.39015012196773	75	A COVENANT WITH DEATH	Stephen Becker	1965	1965-02-07	13	6
mdp.39015008691340	88	A DAY OF BATTLE	Vincent Sheean	1938	1938-08-01	6	4
uc1.$b105695	88	A DAY OF BATTLE	Vincent Sheean	1938	1938-08-01	6	4
inu.30000117261648	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015004995885	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
uc1.32106002085238	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
pst.000028906216	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015000695174	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
pst.000029710478	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015073600093	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015058235873	91	A DEATH IN VIENNA	Daniel Silva	2004	2004-03-14	11	5
mdp.39015049529939	95	A DENSITY OF SOULS	Christopher Rice	2000	2000-10-15	9	15
uc1.$b101886	103	A DREAM OF KINGS	Davis Grubb	1955	1955-10-23	15	15
mdp.39015000621097	103	A DREAM OF KINGS	Davis Grubb	1955	1955-10-23	15	15
uc1.b3688199	103	A DREAM OF KINGS	Davis Grubb	1955	1955-10-23	15	15
uc1.$b106325	104	A DREAM OF KINGS	Harry Mark Petrakis	1966	1966-10-30	13	8
mdp.39015017691224	105	A FABLE	William Faulkner	1954	1954-08-22	6	4
uc1.b4445401	105	A FABLE	William Faulkner	1954	1954-08-22	6	4
mdp.39015003344390	105	A FABLE	William Faulkner	1954	1954-08-22	6	4
mdp.39015046378470	105	A FABLE	William Faulkner	1954	1954-08-22	6	4
mdp.39015003344614	105	A FABLE	William Faulkner	1954	1954-08-22	6	4
mdp.39015003344630	105	A FABLE	William Faulkner	1954	1954-08-22	6	4
inu.30000117261713	105	A FABLE	William Faulkner	1954	1954-08-22	6	4
mdp.39015066296156	107	A FEARFUL JOY	Joyce Cary	1950	1950-10-29	5	11
uc1.$b104062	109	A FEVER IN THE BLOOD	William Pearson	1959	1959-12-06	1	14
mdp.39015000542376	109	A FEVER IN THE BLOOD	William Pearson	1959	1959-12-06	1	14
mdp.39015030728011	110	A FEW FOOLISH ONES	Gladys Hasty Carroll	1935	1935-05-13	5	5
mdp.39015066055388	113	A FLAG FOR SUNRISE	Robert Stone	1981	1981-11-22	10	9
mdp.39015060818443	122	A GOOD YARN	Debbie Macomber	2005	2005-05-15	2	14
mdp.39015059124506	123	A GOOD YEAR	Peter Mayle	2004	2004-06-20	6	13
mdp.39015003640110	126	A HAPPY DEATH	Albert Camus	1972	1972-07-09	10	9
mdp.39015004017342	126	A HAPPY DEATH	Albert Camus	1972	1972-07-09	10	9
uc1.b4099836	130	A HOUSE DIVIDED	Pearl S. Buck	1935	1935-01-28	8	4
mdp.39015046425248	130	A HOUSE DIVIDED	Pearl S. Buck	1935	1935-01-28	8	4
pst.000029583720	130	A HOUSE DIVIDED	Pearl S. Buck	1935	1935-01-28	8	4
pst.000020463786	130	A HOUSE DIVIDED	Pearl S. Buck	1935	1935-01-28	8	4
pst.000028368748	130	A HOUSE DIVIDED	Pearl S. Buck	1935	1935-01-28	8	4
inu.30000041111034	130	A HOUSE DIVIDED	Pearl S. Buck	1935	1935-01-28	8	4
mdp.39015046799444	132	A JOURNEY TO MATECUMBE	Robert Lewis Taylor	1961	1961-05-21	15	8
uc1.b4088973	132	A JOURNEY TO MATECUMBE	Robert Lewis Taylor	1961	1961-05-21	15	8
mdp.39015066066682	133	A KISS OF SHADOWS	Laurell K. Hamilton	2000	2000-10-22	7	14
inu.32000009191885	136	A LEGACY	Sybille Bedford	1957	1957-03-03	15	8
mdp.39015016451059	136	A LEGACY	Sybille Bedford	1957	1957-03-03	15	8
mdp.39015003850081	136	A LEGACY	Sybille Bedford	1957	1957-03-03	15	8
pst.000056830507	136	A LEGACY	Sybille Bedford	1957	1957-03-03	15	8
mdp.39015074299432	139	A LICK OF FROST	Laurell K. Hamilton	2007	2007-11-11	3	2
mdp.39015000628977	142	A LION IS IN THE STREETS	Adria Locke Langley	1945	1945-06-10	5	1
uc1.b3710738	142	A LION IS IN THE STREETS	Adria Locke Langley	1945	1945-06-10	5	1
pst.000002169873	145	A LONG AND HAPPY LIFE	Reynolds Price	1962	1962-05-06	16	14
uc1.b4089928	145	A LONG AND HAPPY LIFE	Reynolds Price	1962	1962-05-06	16	14
mdp.39015000607476	145	A LONG AND HAPPY LIFE	Reynolds Price	1962	1962-05-06	16	14
uc1.b3727139	146	A LONG DAY'S DYING	Frederick Buechner	1950	1950-01-29	2	10
mdp.39015010715293	146	A LONG DAY'S DYING	Frederick Buechner	1950	1950-01-29	2	10
uc1.b4097009	146	A LONG DAY'S DYING	Frederick Buechner	1950	1950-01-29	2	10
mdp.39015034442486	147	A LONG FATAL LOVE CHASE	Louisa May Alcott	1995	1995-10-15	8	14
uc1.32106018075231	149	A LONG WAY DOWN	Nick Hornby	2005	2005-06-26	9	5
mdp.39015060827386	149	A LONG WAY DOWN	Nick Hornby	2005	2005-06-26	9	5
mdp.39076002516263	149	A LONG WAY DOWN	Nick Hornby	2005	2005-06-26	9	5
mdp.39015055451739	150	A LOVE OF MY OWN	E. Lynn Harris	2002	2002-08-18	13	3
mdp.39015061147297	151	A LOVING SCOUNDREL	Johanna Lindsey	2004	2004-05-16	1	10
mdp.39015001518243	153	A MAN	Oriana Fallaci	1980	1980-12-28	1	14
uc1.$b74565	154	A MAN CALLED CERVANTES	Bruno Frank	1935	1935-03-18	8	8
mdp.39015001811333	154	A MAN CALLED CERVANTES	Bruno Frank	1935	1935-03-18	8	8
mdp.39015014137221	155	A MAN IN A MIRROR	Richard Llewellyn	1961	1961-09-10	16	11
mdp.39015060005751	158	A MAN TO CALL MY OWN	Johanna Lindsey	2003	2003-07-20	3	10
mdp.39015032608096	161	A MAP OF THE WORLD	Jane Hamilton	1994	1994-07-17	12	15
mdp.39015031806188	161	A MAP OF THE WORLD	Jane Hamilton	1994	1994-07-17	12	15
mdp.39015063095692	162	A MATTER OF HONOR	Jeffrey Archer	1986	1986-07-06	14	2
mdp.39076002787351	164	A MERCY	Toni Morrison	2008	2008-11-30	13	5
mdp.39015030851128	167	A MODERN HERO	Louis Bromfield	1932	1932-05-09	1	1
uc1.$b322855	167	A MODERN HERO	Louis Bromfield	1932	1932-05-09	1	1
coo.31924014497154	167	A MODERN HERO	Louis Bromfield	1932	1932-05-09	1	1
mdp.39015031223806	168	A MODERN TRAGEDY	Phyllis Bentley	1934	1934-02-12	6	4
uc1.$b322720	168	A MODERN TRAGEDY	Phyllis Bentley	1934	1934-02-12	6	4
mdp.39015026874050	169	A MONTH OF SUNDAYS	John Updike	1975	1975-03-23	9	5
mdp.39015002245770	169	A MONTH OF SUNDAYS	John Updike	1975	1975-03-23	9	5
mdp.39015002364415	171	A MOTHER AND TWO DAUGHTERS	Gail Godwin	1982	1982-02-28	3	8
mdp.39015003687517	172	A MOTHER'S KISSES	Bruce Jay Friedman	1964	1964-09-13	11	8
uc1.b4095411	172	A MOTHER'S KISSES	Bruce Jay Friedman	1964	1964-09-13	11	8
inu.30000011896655	176	A NEW LIFE	Bernard Malamud	1961	1961-12-03	1	13
pst.000032241341	176	A NEW LIFE	Bernard Malamud	1961	1961-12-03	1	13
mdp.49015000716010	176	A NEW LIFE	Bernard Malamud	1961	1961-12-03	1	13
mdp.39015043791444	177	A NEW SONG	Jan Karon	1999	1999-04-25	6	2
mdp.39015016454350	180	A NIGHT OF WATCHING	Elliott Arnold	1967	1967-07-30	3	4
uc1.b3710940	180	A NIGHT OF WATCHING	Elliott Arnold	1967	1967-07-30	3	4
uc1.$b119632	180	A NIGHT OF WATCHING	Elliott Arnold	1967	1967-07-30	3	4
mdp.39015050470569	182	A PAINTED HOUSE	John Grisham	2001	2001-02-25	7	1
uc1.$b662373	183	A PASSAGE IN THE NIGHT	Sholem Asch	1953	1953-11-29	16	15
mdp.39015024566385	183	A PASSAGE IN THE NIGHT	Sholem Asch	1953	1953-11-29	16	15
mdp.39015040176607	184	A PATCHWORK PLANET	Anne Tyler	1998	1998-05-03	13	7
mdp.39015060037267	187	A PERFECT DAY	Richard Paul Evans	2003	2003-10-19	13	6
uc1.b3687478	191	A PILLAR OF IRON	Taylor Caldwell	1965	1965-05-23	2	8
mdp.39015034890445	192	A PLACE CALLED FREEDOM	Ken Follett	1995	1995-09-17	6	6
mdp.39015073913231	192	A PLACE CALLED FREEDOM	Ken Follett	1995	1995-09-17	6	6
mdp.39015060019943	195	A PLACE OF HIDING	Elizabeth George	2003	2003-08-17	14	5
mdp.39015084102303	197	A PLAGUE OF SECRETS	John Lescroart	2009	2009-07-19	15	12
mdp.39015030717782	199	A PRAYER FOR MY SON	Hugh Walpole	1936	1936-10-26	6	3
uc1.$b105923	199	A PRAYER FOR MY SON	Hugh Walpole	1936	1936-10-26	6	3
mdp.39015020746155	200	A PRAYER FOR OWEN MEANY	John Irving	1989	1989-03-26	10	2
uc1.32106002094560	204	A PROLOGUE TO LOVE	Taylor Caldwell	1961	1961-12-03	15	3
mdp.39015000551153	205	A RAGE TO LIVE	John O'Hara	1949	1949-09-04	1	1
pst.000047287280	205	A RAGE TO LIVE	John O'Hara	1949	1949-09-04	1	1
mdp.39015060404624	207	A REDBIRD CHRISTMAS	Fannie Flagg	2004	2004-11-21	12	8
uc1.$b106035	214	A SEASON OF MISTS	Honor Tracy	1961	1961-08-27	15	14
uc1.b3454982	219	A SENSE OF VALUES	Sloan Wilson	1961	1961-01-15	15	10
mdp.39015054096089	220	A SEPARATE PEACE	John Knowles	1960	1960-03-27	1	16
mdp.39015020814508	220	A SEPARATE PEACE	John Knowles	1960	1960-03-27	1	16
uc1.32106006161779	220	A SEPARATE PEACE	John Knowles	1960	1960-03-27	1	16
mdp.39015042143670	220	A SEPARATE PEACE	John Knowles	1960	1960-03-27	1	16
uc1.b3481744	222	A SHADE OF DIFFERENCE	Allen Drury	1962	1962-10-07	10	1
uc1.b3687834	222	A SHADE OF DIFFERENCE	Allen Drury	1962	1962-10-07	10	1
mdp.39015053405992	222	A SHADE OF DIFFERENCE	Allen Drury	1962	1962-10-07	10	1
uc1.b4086401	224	A SHOOTING STAR	Wallace Stegner	1961	1961-06-11	13	7
mdp.39015031308789	224	A SHOOTING STAR	Wallace Stegner	1961	1961-06-11	13	7
mdp.39015002216185	225	A SHOWER OF SUMMER DAYS	May Sarton	1952	1952-12-14	16	16
uc1.b4088775	225	A SHOWER OF SUMMER DAYS	May Sarton	1952	1952-12-14	16	16
umn.31951002283505q	225	A SHOWER OF SUMMER DAYS	May Sarton	1952	1952-12-14	16	16
mdp.39015066056915	226	A SINGLE PEBBLE	John Hersey	1956	1956-06-24	12	4
uc1.b4382652	226	A SINGLE PEBBLE	John Hersey	1956	1956-06-24	12	4
mdp.39015001808552	226	A SINGLE PEBBLE	John Hersey	1956	1956-06-24	12	4
mdp.39015074297212	226	A SINGLE PEBBLE	John Hersey	1956	1956-06-24	12	4
uc1.32106018321486	228	A SOLDIER OF THE GREAT WAR	Mark Helprin	1991	1991-06-23	15	14
mdp.39015054056596	229	A SON OF THE CIRCUS	John Irving	1994	1994-09-04	8	7
pst.000032223316	229	A SON OF THE CIRCUS	John Irving	1994	1994-09-04	8	7
uc1.$b369094	230	A SONG OF SIXPENCE	A.J. Cronin	1964	1964-11-22	15	10
mdp.39015012075704	231	A SOUTHERN FAMILY	Gail Godwin	1987	1987-10-25	3	7
mdp.39015064872743	235	A SPOT OF BOTHER	Mark Haddon	2006	2006-10-01	2	12
mdp.39015064738126	235	A SPOT OF BOTHER	Mark Haddon	2006	2006-10-01	2	12
uc1.$b104015	236	A STAR IN THE WIND	Robert Nathan	1962	1962-02-25	15	13
mdp.39015048416542	236	A STAR IN THE WIND	Robert Nathan	1962	1962-02-25	15	13
mdp.39015054095784	239	A STORM OF SWORDS	George R. R. Martin	2000	2000-11-19	3	12
mdp.39015060659367	243	A STROKE OF MIDNIGHT	Laurell K. Hamilton	2005	2005-05-01	10	6
mdp.39015046481365	244	A SUDDEN CHANGE OF HEART	Barbara Taylor Bradford	1999	1999-03-07	4	6
uc1.b3454985	246	A SUMMER PLACE	Sloan Wilson	1958	1958-04-27	12	4
uc1.b3727153	246	A SUMMER PLACE	Sloan Wilson	1958	1958-04-27	12	4
mdp.39076005051359	248	A SUNSET TOUCH	Howard Spring	1953	1953-11-01	16	16
uc1.b3727239	249	A TALE FOR MIDNIGHT	Frederic Prokosch	1955	1955-08-14	16	16
uc1.$b104034	249	A TALE FOR MIDNIGHT	Frederic Prokosch	1955	1955-08-14	16	16
mdp.39015032187786	250	A TANGLED WEB	Judith Michael	1994	1994-11-13	13	12
mdp.39015014445111	252	A THIEF OF TIME	Tony Hillerman	1988	1988-07-10	1	7
mdp.39015041008692	253	A THIN DARK LINE	Tami Hoag	1997	1997-03-23	9	6
uc1.$b223955	254	A THING OF BEAUTY	A.J. Cronin	1956	1956-06-10	9	2
mdp.39015005351856	254	A THING OF BEAUTY	A.J. Cronin	1956	1956-06-10	9	2
mdp.39015058018204	255	A THOUSAND ACRES	Jane Smiley	1992	1992-04-26	10	10
mdp.39015041290092	255	A THOUSAND ACRES	Jane Smiley	1992	1992-04-26	10	10
mdp.39015055088382	256	A THOUSAND COUNTRY ROADS	Robert James Waller	2002	2002-05-12	1	5
mdp.39015068803348	257	A THOUSAND SPLENDID SUNS	Khaled Hosseini	2007	2007-06-10	12	1
mdp.39015068809477	257	A THOUSAND SPLENDID SUNS	Khaled Hosseini	2007	2007-06-10	12	1
mdp.39015011030759	260	A TIME TO LOVE AND A TIME TO DIE	Erich Maria Remarque	1954	1954-06-13	12	6
mdp.39015028692757	260	A TIME TO LOVE AND A TIME TO DIE	Erich Maria Remarque	1954	1954-06-13	12	6
uc1.32106002241872	260	A TIME TO LOVE AND A TIME TO DIE	Erich Maria Remarque	1954	1954-06-13	12	6
mdp.39015051308172	262	A TRAITOR TO MEMORY	Elizabeth George	2001	2001-07-15	6	8
mdp.39015000613409	263	A TREE GROWS IN BROOKLYN	Betty Smith	1943	1943-08-30	3	1
mdp.39015003510131	263	A TREE GROWS IN BROOKLYN	Betty Smith	1943	1943-08-30	3	1
uc1.$b103843	267	A TWIST OF SAND	Geoffrey Jenkins	1960	1960-03-06	1	16
mdp.49015000558818	270	A WALK ON THE WILD SIDE	Nelson Algren	1956	1956-06-10	12	8
mdp.39015056875464	276	A WIDOW FOR ONE YEAR	John Irving	1998	1998-05-17	13	1
mdp.39015046367721	276	A WIDOW FOR ONE YEAR	John Irving	1998	1998-05-17	13	1
uc1.b3463671	278	A WOMAN CALLED FANCY	Frank Yerby	1951	1951-05-27	11	4
mdp.39015014862497	278	A WOMAN CALLED FANCY	Frank Yerby	1951	1951-05-27	11	4
mdp.39015011903195	281	A WORLD OF LOVE	Elizabeth Bowen	1955	1955-02-06	12	10
mdp.39015010437336	281	A WORLD OF LOVE	Elizabeth Bowen	1955	1955-02-06	12	10
mdp.39015050557019	282	A WORLD OF PROFIT	Louis Auchincloss	1968	1968-12-29	6	6
uc1.b3710954	282	A WORLD OF PROFIT	Louis Auchincloss	1968	1968-12-29	6	6
mdp.39015011347047	283	A WORLD TO WIN	Upton Sinclair	1946	1946-06-16	3	5
uc1.b4089006	283	A WORLD TO WIN	Upton Sinclair	1946	1946-06-16	3	5
mdp.39015030711751	283	A WORLD TO WIN	Upton Sinclair	1946	1946-06-16	3	5
uc1.32106002145966	283	A WORLD TO WIN	Upton Sinclair	1946	1946-06-16	3	5
uc1.b4095410	284	A WREATH FOR THE ENEMY	Pamela Frankau	1954	1954-07-18	12	8
mdp.39015043826000	286	ABIDE WITH ME	E. Lynn Harris	1999	1999-04-04	8	6
mdp.39015040129580	289	ABSALOM, ABSALOM	William Faulkner	1936	1936-11-09	8	8
mdp.39015003344879	289	ABSALOM, ABSALOM	William Faulkner	1936	1936-11-09	8	8
mdp.39015010379520	289	ABSALOM, ABSALOM	William Faulkner	1936	1936-11-09	8	8
mdp.49015000582149	289	ABSALOM, ABSALOM	William Faulkner	1936	1936-11-09	8	8
mdp.39015066053276	289	ABSALOM, ABSALOM	William Faulkner	1936	1936-11-09	8	8
mdp.39015058018220	296	ACCEPTABLE RISK	Robin Cook	1995	1995-01-29	9	6
pst.000058051221	297	ACCIDENT	Danielle Steel	1994	1994-02-20	12	1
mdp.39015037761098	299	ACCORDION CRIMES	E. Annie Proulx	1996	1996-06-23	11	9
uc1.32106005369274	302	ACROSS THE RIVER AND INTO THE TREES	Ernest Hemingway	1950	1950-09-24	1	1
mdp.39015028774456	302	ACROSS THE RIVER AND INTO THE TREES	Ernest Hemingway	1950	1950-09-24	1	1
mdp.39015077653965	302	ACROSS THE RIVER AND INTO THE TREES	Ernest Hemingway	1950	1950-09-24	1	1
uc1.$b105634	303	ACT OF ANGER	Bart Spicer	1962	1962-09-02	11	9
mdp.39015020001544	304	ACT OF GOD	Margaret Kennedy	1955	1955-03-06	16	16
uc1.$b102355	304	ACT OF GOD	Margaret Kennedy	1955	1955-03-06	16	16
mdp.39015066740922	305	ACT OF TREASON	Vince Flynn	2006	2006-10-29	9	3
uc1.$b56291	308	ACTION AT AQUILA	Hervey Allen	1938	1938-03-14	3	1
mdp.39015030700937	308	ACTION AT AQUILA	Hervey Allen	1938	1938-03-14	3	1
mdp.39015014110137	308	ACTION AT AQUILA	Hervey Allen	1938	1938-03-14	3	1
inu.30000029415860	309	ACTS OF FAITH	Erich Segal	1992	1992-04-05	7	8
mdp.39015041025852	310	ACTS OF LOVE	Judith Michael	1997	1997-03-30	8	8
mdp.39076005051995	317	ADVENTURES IN THE SKIN TRADE	Dylan Thomas	1955	1955-06-26	15	15
mdp.39076005052001	317	ADVENTURES IN THE SKIN TRADE	Dylan Thomas	1955	1955-06-26	15	15
uc1.32106006985227	317	ADVENTURES IN THE SKIN TRADE	Dylan Thomas	1955	1955-06-26	15	15
uc1.b4385869	318	ADVERSARY IN THE HOUSE	Irving Stone	1947	1947-10-19	5	7
mdp.39015048896230	318	ADVERSARY IN THE HOUSE	Irving Stone	1947	1947-10-19	5	7
mdp.39015013121127	319	ADVISE AND CONSENT	Allen Drury	1959	1959-08-16	13	1
inu.30000123932513	319	ADVISE AND CONSENT	Allen Drury	1959	1959-08-16	13	1
pst.000023243460	319	ADVISE AND CONSENT	Allen Drury	1959	1959-08-16	13	1
mdp.39015041007066	320	AFFAIR	Amanda Quick	1997	1997-05-04	5	6
mdp.39015034416266	324	AFTER DARK	Phillip Margolin	1995	1995-07-16	7	13
mdp.39015066051171	326	AFTER MANY A SUMMER DIES THE SWAN	Aldous Huxley	1940	1940-02-05	6	5
mdp.39015047521391	326	AFTER MANY A SUMMER DIES THE SWAN	Aldous Huxley	1940	1940-02-05	6	5
pst.000010188415	326	AFTER MANY A SUMMER DIES THE SWAN	Aldous Huxley	1940	1940-02-05	6	5
pst.000029840403	326	AFTER MANY A SUMMER DIES THE SWAN	Aldous Huxley	1940	1940-02-05	6	5
mdp.39015000539802	327	AFTER SUCH PLEASURES	Dorothy Parker	1933	1933-11-13	3	3
uc1.$b244058	327	AFTER SUCH PLEASURES	Dorothy Parker	1933	1933-11-13	3	3
coo.31924014517753	327	AFTER SUCH PLEASURES	Dorothy Parker	1933	1933-11-13	3	3
mdp.39015014137171	334	AFTERNOON OF AN AUTOCRAT	Norah Lofts	1956	1956-07-29	14	13
uc1.$b105298	334	AFTERNOON OF AN AUTOCRAT	Norah Lofts	1956	1956-07-29	14	13
uc1.32106018851599	338	AGAINST THE DAY	Thomas Pynchon	2006	2006-12-10	1	13
mdp.49015003408284	338	AGAINST THE DAY	Thomas Pynchon	2006	2006-12-10	1	13
mdp.39015001506586	341	AGENT IN PLACE	Helen MacInnes	1976	1976-05-16	10	4
mdp.39015066083893	346	AIMEZ-VOUS BRAHMS	Francoise Sagan	1960	1960-04-17	15	14
mdp.39015036063876	349	AIRFRAME	Michael Crichton	1996	1996-12-22	15	1
mdp.39015003763698	350	AIRPORT	Arthur Hailey	1968	1968-03-31	14	1
uc1.b3473818	350	AIRPORT	Arthur Hailey	1968	1968-03-31	14	1
mdp.39015058785299	350	AIRPORT	Arthur Hailey	1968	1968-03-31	14	1
mdp.39015022364874	351	AIRS ABOVE THE GROUND	Mary Stewart	1965	1965-09-26	4	3
mdp.39015040702071	358	ALIAS GRACE	Margaret Atwood	1997	1997-01-19	5	7
mdp.39015050176950	358	ALIAS GRACE	Margaret Atwood	1997	1997-01-19	5	7
mdp.39015030750700	365	ALL FALL DOWN	James Leo Herlihy	1960	1960-09-11	16	14
uc1.b3688275	365	ALL FALL DOWN	James Leo Herlihy	1960	1960-09-11	16	14
mdp.39015019622599	365	ALL FALL DOWN	James Leo Herlihy	1960	1960-09-11	16	14
mdp.39015029402115	371	ALL MEN ARE ENEMIES	Richard Aldington	1933	1933-08-07	2	2
uc1.$b322910	371	ALL MEN ARE ENEMIES	Richard Aldington	1933	1933-08-07	2	2
mdp.39015008846571	371	ALL MEN ARE ENEMIES	Richard Aldington	1933	1933-08-07	2	2
inu.32000009187370	371	ALL MEN ARE ENEMIES	Richard Aldington	1933	1933-08-07	2	2
uc1.$b86159	373	ALL OF THEIR LIVES	Myron Brinig	1941	1941-07-21	5	5
mdp.39015030716347	378	ALL THE DAY LONG	Howard Spring	1960	1960-03-20	12	11
mdp.39015008621032	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
uc1.32106002152723	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
uc1.32106009254316	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
uc1.32106013054009	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
uc1.32106010568753	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
mdp.39015003979526	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
inu.30000117261721	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
mdp.39015032496526	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
mdp.39015058011126	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
uc1.32106016198860	380	ALL THE KING'S MEN	Robert Penn Warren	1946	1946-09-15	7	6
mdp.39015014747995	382	ALL THE LITTLE LIVE THINGS	Wallace Stegner	1967	1967-09-03	4	9
mdp.39015066062582	382	ALL THE LITTLE LIVE THINGS	Wallace Stegner	1967	1967-09-03	4	9
mdp.39015032443536	382	ALL THE LITTLE LIVE THINGS	Wallace Stegner	1967	1967-09-03	4	9
mdp.39015066049159	384	ALL THE PRETTY HORSES	Cormac McCarthy	1992	1992-06-07	10	9
mdp.39015054072965	385	ALL THE QUEEN'S MEN	Linda Howard	1999	1999-08-15	14	11
uc1.$b223962	389	ALL THIS AND HEAVEN TOO	Rachel Field	1938	1938-10-31	2	1
pst.000029131198	389	ALL THIS AND HEAVEN TOO	Rachel Field	1938	1938-10-31	2	1
uc1.b3687779	389	ALL THIS AND HEAVEN TOO	Rachel Field	1938	1938-10-31	2	1
mdp.39015003341867	389	ALL THIS AND HEAVEN TOO	Rachel Field	1938	1938-10-31	2	1
mdp.39015003341891	389	ALL THIS AND HEAVEN TOO	Rachel Field	1938	1938-10-31	2	1
mdp.39015066052559	389	ALL THIS AND HEAVEN TOO	Rachel Field	1938	1938-10-31	2	1
mdp.39015045693713	390	ALL THROUGH THE NIGHT	Mary Higgins Clark	1998	1998-11-01	8	4
mdp.39015074044218	391	ALL THROUGH THE NIGHT	Suzanne Brockmann	2007	2007-11-18	15	14
mdp.39015058229751	397	ALOFT	Chang-rae Lee	2004	2004-04-11	6	15
mdp.39015059216765	398	ALONE	Lisa Gardner	2005	2005-01-30	11	9
mdp.39015051142530	400	ALONG THESE STREETS	Struthers Burt	1942	1942-02-09	6	4
mdp.39015074044085	406	AMAZING GRACE	Danielle Steel	2007	2007-11-18	6	5
mdp.39015003345298	413	AMERICAN BEAUTY	Edna Ferber	1931	1931-11-16	3	2
